,kim scott,marcia langton,alison ravenscroft,edouard glissant,anne brewster,mudrooroo,jacques derrida,deborah bird rose,alex miller,jeanine leane,homi bhabha,xavier herbert,mabo,john howard,toni morrison,richard flanagan,stephen slemon,paul sharrad,bill ashcroft,carole ferrier,maria takolander,lynda ng,wilson harris,michel foucault,amitav ghosh,ambelin kwaymullina,mikhail bakhtin,oodgeroo,colin johnson,gayatri spivak,félix guattari,graham huggan,gilles deleuze,philip mead,martin heidegger,adam shoemaker,gerald vizenor,UNKNOWN deloughrey,roger osborne,irene watson,moreton robinson,UNKNOWN buell,UNKNOWN faris,frances devlin-glass,aileen moreton-robinson,brigitta olubas,brigid rooney,rob clarke,victoria kuttainen,xavier herberts,tony simoes da silva
2009-07-01__jose-nicholas__journal-of-the-association-for-the-study-of-australian-literature__australian-literature-inside-and-out-barry-andrews-memorial-address__conference-presentation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-01__birrell-kathleen-sarat-austin__studies-in-law-politics-and-society__indigeneity-before-and-beyond-the-law__book-chapter,0.010101010101010102,0.0707070707070707,0.0,0.0,0.0,0.0,0.23232323232323232,0.04040404040404041,0.0,0.0,0.10101010101010101,0.0,0.0707070707070707,0.0,0.0,0.0,0.0,0.0,0.020202020202020204,0.0,0.0,0.0,0.020202020202020204,0.020202020202020204,0.0,0.1414141414141414,0.0,0.0,0.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.010101010101010102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-01__brewster-anne__australian-literary-studies__indigenous-sovereignty-and-the-crisis-of-whiteness-in-alexis-wrights-carpentaria__journal-article,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.044444444444444446,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.044444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044444444444444446,0.0,0.0,0.044444444444444446,0.044444444444444446,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-01__ravenscroft-alison__cultural-studies-review__dreaming-of-others-carpentaria-and-its-critics__journal-article,0.0,0.0,0.2361111111111111,0.0,0.0,0.0,0.0,0.06944444444444445,0.0,0.0,0.0,0.06944444444444445,0.0,0.0,0.125,0.0,0.1388888888888889,0.0,0.0,0.0,0.09722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-01__haylock-bridget__traumatic-imprints__enlisting-rage-and-speaking-place-alexis-wrights-carpentaria__book-chapter,0.047619047619047616,0.19047619047619047,0.0,0.0,0.0,0.19047619047619047,0.0,0.38095238095238093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19047619047619047,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-01__renes-cornelius-martin__journal-of-the-european-association-of-studies-on-australia__dreamtime-narrative-and-postcolonisation-alexis-wrights-carpentaria-as-an-antidote-to-the-discourse-of-intervention__journal-article,0.32142857142857145,0.03571428571428571,0.017857142857142856,0.017857142857142856,0.0,0.30357142857142855,0.0,0.017857142857142856,0.0,0.0,0.05357142857142857,0.07142857142857142,0.0,0.14285714285714285,0.0,0.0,0.0,0.07142857142857142,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.0,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01__hall-demelza__southerly__the-isle-of-refuse-in-alexis-wrights-carpentaria-reconstituting-heterotopic-space__journal-article,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01__molloy-shane__journal-of-the-association-for-the-study-of-australian-literature__finding-hope-in-the-stories-alexis-wrights-carpentaria-and-the-carnivalesque-search-for-a-new-order__journal-article,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01__archer-lean-clare__the-international-journal-of-social-sustainability-in-economic-social-and-cultural-context__knowing-and-being-in-ecocritical-visions-of-carpentaria__journal-article,0.0,0.0,0.1111111111111111,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.35555555555555557,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.08888888888888889,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01__barrett-susan__elohi__this-land-is-me-indigenous-australian-story-telling-and-ecological-knowledge__journal-article,0.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01__gleeson-white-jane__jasal__capitalism-versus-the-agency-of-place-an-ecocritical-reading-of-that-deadman-dance-and-carpentaria__journal-article,0.08571428571428572,0.0,0.17142857142857143,0.0,0.22857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01__jose-nicholas__journal-of-australian-studies__deconstructing-the-dumpling-australia-china-lived-connections__journal-article,0.027777777777777776,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01__mcmahon-elizabeth__jasal__dorothy-green-memorial-lecture-archipelagic-space-and-the-uncertain-future-of-national-literatures__journal-article,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.057692307692307696,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01__molloy-diane__journal-of-the-association-for-the-study-of-australian-literature__finding-hope-in-the-stories-alexis-wrights-carpentaria-and-the-carnivalesque-search-for-a-new-order__journal-article,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
